Country,Date,Total number of Cases
India,2020-05-13,78055
India,2020-05-14,81997
India,2020-05-15,85784
India,2020-05-16,90648
India,2020-05-17,95698
India,2020-05-18,100328
India,2020-05-19,106475
India,2020-05-20,112028
India,2020-05-21,118226
India,2020-05-22,124794
India,2020-05-23,131423
India,2020-05-24,138536
India,2020-05-25,144950
India,2020-05-26,150793
India,2020-05-27,158086
India,2020-05-28,165386
India,2020-05-29,173491
India,2020-05-30,181827
India,2020-05-31,190609
India,2020-06-01,198370
India,2020-06-02,207191
India,2020-06-03,216824
India,2020-06-04,226713
India,2020-06-05,236184
India,2020-06-06,246622
India,2020-06-07,257486
India,2020-06-08,265928
India,2020-06-09,276146
India,2020-06-10,286605
India,2020-06-11,297535
India,2020-06-12,308993
India,2020-06-13,320922
India,2020-06-14,332424
India,2020-06-15,343091
India,2020-06-16,354065
India,2020-06-17,366946
India,2020-06-18,380532
India,2020-06-19,395048
India,2020-06-20,410451
India,2020-06-21,425282
India,2020-06-22,440215
India,2020-06-23,456183
India,2020-06-24,473105
India,2020-06-25,490401
India,2020-06-26,508953
India,2020-06-27,528859
India,2020-06-28,548318
India,2020-06-29,566840
India,2020-06-30,585481
India,2020-07-01,604641
India,2020-07-02,625544
India,2020-07-03,648315
India,2020-07-04,673165
India,2020-07-05,697413
India,2020-07-06,719664
India,2020-07-07,742417
India,2020-07-08,767296
India,2020-07-09,793802
India,2020-07-10,820916
India,2020-07-11,849522
India,2020-07-12,878254
India,2020-07-13,906752
India,2020-07-14,936181
India,2020-07-15,968857
India,2020-07-16,1003832
India,2020-07-17,1039084
India,2020-07-18,1077781
India,2020-07-19,1118206
India,2020-07-20,1155338
India,2020-07-21,1193078
India,2020-07-22,1238798
India,2020-07-23,1288108
India,2020-07-24,1337024
India,2020-07-25,1385635
India,2020-07-26,1435616
India,2020-07-27,1480073
India,2020-07-28,1531669
India,2020-07-29,1581963
India,2020-07-30,1634746
India,2020-07-31,1695988
Italy,2020-01-22,0
Italy,2020-01-23,0
Italy,2020-01-24,0
Italy,2020-01-25,0
Italy,2020-01-26,0
Italy,2020-01-27,0
Italy,2020-01-28,0
Italy,2020-01-29,0
Italy,2020-01-30,0
Italy,2020-01-31,2
Italy,2020-02-01,2
Italy,2020-02-02,2
Italy,2020-02-03,2
Italy,2020-02-04,2
Italy,2020-02-05,2
Italy,2020-02-06,2
Italy,2020-02-07,3
Italy,2020-02-08,3
Italy,2020-02-09,3
Italy,2020-02-10,3
Italy,2020-02-11,3
Italy,2020-02-12,3
Italy,2020-02-13,3
Italy,2020-02-14,3
Italy,2020-02-15,3
Italy,2020-02-16,3
Italy,2020-02-17,3
Italy,2020-02-18,3
Italy,2020-02-19,3
Italy,2020-02-20,3
Italy,2020-02-21,20
Italy,2020-02-22,62
Italy,2020-02-23,155
Italy,2020-02-24,229
Italy,2020-02-25,322
Italy,2020-02-26,453
Italy,2020-02-27,655
Italy,2020-02-28,888
Italy,2020-02-29,1128
Italy,2020-03-01,1694
Italy,2020-03-02,2036
Italy,2020-03-03,2502
Italy,2020-03-04,3089
Italy,2020-03-05,3858
Italy,2020-03-06,4636
Italy,2020-03-07,5883
Italy,2020-03-08,7375
Italy,2020-03-09,9172
Italy,2020-03-10,10149
Italy,2020-03-11,12462
Italy,2020-03-12,15113
Italy,2020-03-13,17660
Italy,2020-03-14,21157
Italy,2020-03-15,24747
Italy,2020-03-16,27980
Italy,2020-03-17,31506
Italy,2020-03-18,35713
Italy,2020-03-19,41035
Italy,2020-03-20,47021
Italy,2020-03-21,53578
Italy,2020-03-22,59138
Italy,2020-03-23,63927
Italy,2020-03-24,69176
Italy,2020-03-25,74386
Italy,2020-03-26,80589
Italy,2020-03-27,86498
Italy,2020-03-28,92472
Italy,2020-03-29,97689
Italy,2020-03-30,101739
Italy,2020-03-31,105792
Italy,2020-04-01,110574
Italy,2020-04-02,115242
Italy,2020-04-03,119827
Italy,2020-04-04,124632
Italy,2020-04-05,128948
Italy,2020-04-06,132547
Italy,2020-04-07,135586
Italy,2020-04-08,139422
Italy,2020-04-09,143626
Italy,2020-04-10,147577
Italy,2020-04-11,152271
Italy,2020-04-12,156363
Italy,2020-04-13,159516
Italy,2020-04-14,162488
Italy,2020-04-15,165155
Italy,2020-04-16,168941
Italy,2020-04-17,172434
Italy,2020-04-18,175925
Italy,2020-04-19,178972
Italy,2020-04-20,181228
Italy,2020-04-21,183957
Italy,2020-04-22,187327
Italy,2020-04-23,189973
Italy,2020-04-24,192994
Italy,2020-04-25,195351
Italy,2020-04-26,197675
Italy,2020-04-27,199414
Italy,2020-04-28,201505
Italy,2020-04-29,203591
Italy,2020-04-30,205463
Italy,2020-05-01,207428
Italy,2020-05-02,209328
Italy,2020-05-03,210717
Italy,2020-05-04,211938
Italy,2020-05-05,213013
Italy,2020-05-06,214457
Italy,2020-05-07,215858
Italy,2020-05-08,217185
Italy,2020-05-09,218268
Italy,2020-05-10,219070
Italy,2020-05-11,219814
Italy,2020-05-12,221216
Italy,2020-05-13,222104
Italy,2020-05-14,223096
Italy,2020-05-15,223885
Italy,2020-05-16,224760
Italy,2020-05-17,225435
Italy,2020-05-18,225886
Italy,2020-05-19,226699
Italy,2020-05-20,227364
Italy,2020-05-21,228006
Italy,2020-05-22,228658
Italy,2020-05-23,229327
Italy,2020-05-24,229858
Italy,2020-05-25,230158
Italy,2020-05-26,230555
Italy,2020-05-27,231139
Italy,2020-05-28,231732
Italy,2020-05-29,232248
Italy,2020-05-30,232664
Italy,2020-05-31,232997
Italy,2020-06-01,233197
Italy,2020-06-02,233515
Italy,2020-06-03,233836
Italy,2020-06-04,234013
Italy,2020-06-05,234531
Italy,2020-06-06,234801
Italy,2020-06-07,234998
Italy,2020-06-08,235278
Italy,2020-06-09,235561
Italy,2020-06-10,235763
Italy,2020-06-11,236142
Italy,2020-06-12,236305
Italy,2020-06-13,236651
Italy,2020-06-14,236989
Italy,2020-06-15,237290
Italy,2020-06-16,237500
Italy,2020-06-17,237828
Italy,2020-06-18,238159
Italy,2020-06-19,238011
Italy,2020-06-20,238275
Italy,2020-06-21,238499
Italy,2020-06-22,238720
Italy,2020-06-23,238833
Italy,2020-06-24,239410
Italy,2020-06-25,239706
Italy,2020-06-26,239961
Italy,2020-06-27,240136
Italy,2020-06-28,240310
Italy,2020-06-29,240436
Italy,2020-06-30,240578
Italy,2020-07-01,240760
Italy,2020-07-02,240961
Italy,2020-07-03,241184
Italy,2020-07-04,241419
Italy,2020-07-05,241611
Italy,2020-07-06,241819
Italy,2020-07-07,241956
Italy,2020-07-08,242149
Italy,2020-07-09,242363
Italy,2020-07-10,242639
Italy,2020-07-11,242827
Italy,2020-07-12,243061
Italy,2020-07-13,243230
Italy,2020-07-14,243344
Italy,2020-07-15,243506
Italy,2020-07-16,243736
Italy,2020-07-17,243967
Italy,2020-07-18,244216
Italy,2020-07-19,244434
Italy,2020-07-20,244624
Italy,2020-07-21,244752
Italy,2020-07-22,245032
Italy,2020-07-23,245338
Italy,2020-07-24,245590
Italy,2020-07-25,245864
Italy,2020-07-26,246118
Italy,2020-07-27,246286
Italy,2020-07-28,246488
Italy,2020-07-29,246776
Italy,2020-07-30,247158
Italy,2020-07-31,247537
Japan,2020-01-22,2
Japan,2020-01-23,2
Japan,2020-01-24,2
Japan,2020-01-25,2
Japan,2020-01-26,4
Japan,2020-01-27,4
Japan,2020-01-28,7
Japan,2020-01-29,7
Japan,2020-01-30,11
Japan,2020-01-31,15
Japan,2020-02-01,20
Japan,2020-02-02,20
Japan,2020-02-03,20
Japan,2020-02-04,22
Japan,2020-02-05,23
Japan,2020-02-06,23
Japan,2020-02-07,23
Japan,2020-02-08,24
Japan,2020-02-09,24
Japan,2020-02-10,26
Japan,2020-02-11,27
Japan,2020-02-12,28
Japan,2020-02-13,33
Japan,2020-02-14,43
Japan,2020-02-15,54
Japan,2020-02-16,60
Japan,2020-02-17,67
Japan,2020-02-18,79
Japan,2020-02-19,85
Japan,2020-02-20,95
Japan,2020-02-21,112
Japan,2020-02-22,137
Japan,2020-02-23,149
Japan,2020-02-24,160
Japan,2020-02-25,173
Japan,2020-02-26,192
Japan,2020-02-27,218
Japan,2020-02-28,236
Japan,2020-02-29,245
Japan,2020-03-01,259
Japan,2020-03-02,278
Japan,2020-03-03,298
Japan,2020-03-04,333
Japan,2020-03-05,365
Japan,2020-03-06,420
Japan,2020-03-07,466
Japan,2020-03-08,499
Japan,2020-03-09,527
Japan,2020-03-10,585
Japan,2020-03-11,640
Japan,2020-03-12,696
Japan,2020-03-13,733
Japan,2020-03-14,795
Japan,2020-03-15,826
Japan,2020-03-16,843
Japan,2020-03-17,893
Japan,2020-03-18,928
Japan,2020-03-19,968
Japan,2020-03-20,1022
Japan,2020-03-21,1059
Japan,2020-03-22,1104
Japan,2020-03-23,1144
Japan,2020-03-24,1217
Japan,2020-03-25,1314
Japan,2020-03-26,1416
Japan,2020-03-27,1530
Japan,2020-03-28,1728
Japan,2020-03-29,1907
Japan,2020-03-30,2001
Japan,2020-03-31,2255
Japan,2020-04-01,2535
Japan,2020-04-02,2818
Japan,2020-04-03,3154
Japan,2020-04-04,3525
Japan,2020-04-05,3876
Japan,2020-04-06,4110
Japan,2020-04-07,4485
Japan,2020-04-08,5020
Japan,2020-04-09,5614
Japan,2020-04-10,6250
Japan,2020-04-11,6951
Japan,2020-04-12,7473
Japan,2020-04-13,7773
Japan,2020-04-14,8277
Japan,2020-04-15,8835
Japan,2020-04-16,9398
Japan,2020-04-17,9958
Japan,2020-04-18,10548
Japan,2020-04-19,10914
Japan,2020-04-20,11258
Japan,2020-04-21,11641
Japan,2020-04-22,12037
Japan,2020-04-23,12469
Japan,2020-04-24,12854
Japan,2020-04-25,13186
Japan,2020-04-26,13405
Japan,2020-04-27,13576
Japan,2020-04-28,13860
Japan,2020-04-29,14076
Japan,2020-04-30,14284
Japan,2020-05-01,14558
Japan,2020-05-02,14861
Japan,2020-05-03,15061
Japan,2020-05-04,15229
Japan,2020-05-05,15354
Japan,2020-05-06,15455
Japan,2020-05-07,15553
Japan,2020-05-08,15640
Japan,2020-05-09,15755
Japan,2020-05-10,15824
Japan,2020-05-11,15861
Japan,2020-05-12,15948
Japan,2020-05-13,15998
Japan,2020-05-14,16096
Japan,2020-05-15,16148
Japan,2020-05-16,16202
Japan,2020-05-17,16226
Japan,2020-05-18,16259
Japan,2020-05-19,16287
Japan,2020-05-20,16321
Japan,2020-05-21,16362
Japan,2020-05-22,16385
Japan,2020-05-23,16410
Japan,2020-05-24,16451
Japan,2020-05-25,16472
Japan,2020-05-26,16502
Japan,2020-05-27,16528
Japan,2020-05-28,16598
Japan,2020-05-29,16673
Japan,2020-05-30,16716
Japan,2020-05-31,16751
Japan,2020-06-01,16787
Japan,2020-06-02,16837
Japan,2020-06-03,16867
Japan,2020-06-04,16911
Japan,2020-06-05,16958
Japan,2020-06-06,17000
Japan,2020-06-07,17039
Japan,2020-06-08,17060
Japan,2020-06-09,17111
Japan,2020-06-10,17146
Japan,2020-06-11,17187
Japan,2020-06-12,17250
Japan,2020-06-13,17293
Japan,2020-06-14,17369
Japan,2020-06-15,17439
Japan,2020-06-16,17484
Japan,2020-06-17,17530
Japan,2020-06-18,17588
Japan,2020-06-19,17658
Japan,2020-06-20,17725
Japan,2020-06-21,17780
Japan,2020-06-22,17820
Japan,2020-06-23,17879
Japan,2020-06-24,17963
Japan,2020-06-25,18055
Japan,2020-06-26,18162
Japan,2020-06-27,18254
Japan,2020-06-28,18366
Japan,2020-06-29,18476
Japan,2020-06-30,18615
Japan,2020-07-01,18838
Japan,2020-07-02,19055
Japan,2020-07-03,19185
Japan,2020-07-04,19461
Japan,2020-07-05,19668
Japan,2020-07-06,19848
Japan,2020-07-07,20055
Japan,2020-07-08,20261
Japan,2020-07-09,20617
Japan,2020-07-10,21044
Japan,2020-07-11,21430
Japan,2020-07-12,21841
Japan,2020-07-13,22125
Japan,2020-07-14,22437
Japan,2020-07-15,23172
Japan,2020-07-16,23510
Japan,2020-07-17,24104
Japan,2020-07-18,24946
Japan,2020-07-19,25446
Japan,2020-07-20,25706
Japan,2020-07-21,26463
Japan,2020-07-22,27136
Japan,2020-07-23,28114
Japan,2020-07-24,28883
Japan,2020-07-25,29684
Japan,2020-07-26,30548
Japan,2020-07-27,31142
Japan,2020-07-28,32116
Japan,2020-07-29,33382
Japan,2020-07-30,35144
Japan,2020-07-31,36234
South Korea,2020-01-22,1
South Korea,2020-01-23,1
South Korea,2020-01-24,2
South Korea,2020-01-25,2
South Korea,2020-01-26,3
South Korea,2020-01-27,4
South Korea,2020-01-28,4
South Korea,2020-01-29,4
South Korea,2020-01-30,4
South Korea,2020-01-31,11
South Korea,2020-02-01,12
South Korea,2020-02-02,15
South Korea,2020-02-03,15
South Korea,2020-02-04,16
South Korea,2020-02-05,19
South Korea,2020-02-06,23
South Korea,2020-02-07,24
South Korea,2020-02-08,24
South Korea,2020-02-09,25
South Korea,2020-02-10,27
South Korea,2020-02-11,28
South Korea,2020-02-12,28
South Korea,2020-02-13,28
South Korea,2020-02-14,28
South Korea,2020-02-15,28
South Korea,2020-02-16,29
South Korea,2020-02-17,30
South Korea,2020-02-18,31
South Korea,2020-02-19,31
South Korea,2020-02-20,104
South Korea,2020-02-21,204
South Korea,2020-02-22,433
South Korea,2020-02-23,602
South Korea,2020-02-24,833
South Korea,2020-02-25,977
South Korea,2020-02-26,1261
South Korea,2020-02-27,1766
South Korea,2020-02-28,2337
South Korea,2020-02-29,3150
South Korea,2020-03-01,3736
South Korea,2020-03-02,4335
South Korea,2020-03-03,5186
South Korea,2020-03-04,5621
South Korea,2020-03-05,6088
South Korea,2020-03-06,6593
South Korea,2020-03-07,7041
South Korea,2020-03-08,7314
South Korea,2020-03-09,7478
South Korea,2020-03-10,7513
South Korea,2020-03-11,7755
South Korea,2020-03-12,7869
South Korea,2020-03-13,7979
South Korea,2020-03-14,8086
South Korea,2020-03-15,8162
South Korea,2020-03-16,8236
South Korea,2020-03-17,8320
South Korea,2020-03-18,8413
South Korea,2020-03-19,8565
South Korea,2020-03-20,8652
South Korea,2020-03-21,8799
South Korea,2020-03-22,8961
South Korea,2020-03-23,8961
South Korea,2020-03-24,9037
South Korea,2020-03-25,9137
South Korea,2020-03-26,9241
South Korea,2020-03-27,9332
South Korea,2020-03-28,9478
South Korea,2020-03-29,9583
South Korea,2020-03-30,9661
South Korea,2020-03-31,9786
South Korea,2020-04-01,9887
South Korea,2020-04-02,9976
South Korea,2020-04-03,10062
South Korea,2020-04-04,10156
South Korea,2020-04-05,10237
South Korea,2020-04-06,10284
South Korea,2020-04-07,10331
South Korea,2020-04-08,10384
South Korea,2020-04-09,10423
South Korea,2020-04-10,10450
South Korea,2020-04-11,10480
South Korea,2020-04-12,10512
South Korea,2020-04-13,10537
South Korea,2020-04-14,10564
South Korea,2020-04-15,10591
South Korea,2020-04-16,10613
South Korea,2020-04-17,10635
South Korea,2020-04-18,10653
South Korea,2020-04-19,10661
South Korea,2020-04-20,10674
South Korea,2020-04-21,10683
South Korea,2020-04-22,10694
South Korea,2020-04-23,10708
South Korea,2020-04-24,10718
South Korea,2020-04-25,10728
South Korea,2020-04-26,10738
South Korea,2020-04-27,10752
South Korea,2020-04-28,10761
South Korea,2020-04-29,10765
South Korea,2020-04-30,10774
South Korea,2020-05-01,10780
South Korea,2020-05-02,10793
South Korea,2020-05-03,10801
South Korea,2020-05-04,10804
South Korea,2020-05-05,10806
South Korea,2020-05-06,10810
South Korea,2020-05-07,10822
South Korea,2020-05-08,10840
South Korea,2020-05-09,10874
South Korea,2020-05-10,10909
South Korea,2020-05-11,10936
South Korea,2020-05-12,10962
South Korea,2020-05-13,10991
South Korea,2020-05-14,11018
South Korea,2020-05-15,11037
South Korea,2020-05-16,11050
South Korea,2020-05-17,11065
South Korea,2020-05-18,11078
South Korea,2020-05-19,11110
South Korea,2020-05-20,11122
South Korea,2020-05-21,11142
South Korea,2020-05-22,11165
South Korea,2020-05-23,11190
South Korea,2020-05-24,11206
South Korea,2020-05-25,11225
South Korea,2020-05-26,11265
South Korea,2020-05-27,11344
South Korea,2020-05-28,11402
South Korea,2020-05-29,11441
South Korea,2020-05-30,11468
South Korea,2020-05-31,11503
South Korea,2020-06-01,11541
South Korea,2020-06-02,11590
South Korea,2020-06-03,11629
South Korea,2020-06-04,11668
South Korea,2020-06-05,11719
South Korea,2020-06-06,11776
South Korea,2020-06-07,11814
South Korea,2020-06-08,11852
South Korea,2020-06-09,11902
South Korea,2020-06-10,11947
South Korea,2020-06-11,12003
South Korea,2020-06-12,12051
South Korea,2020-06-13,12085
South Korea,2020-06-14,12121
South Korea,2020-06-15,12155
South Korea,2020-06-16,12198
South Korea,2020-06-17,12257
South Korea,2020-06-18,12306
South Korea,2020-06-19,12373
South Korea,2020-06-20,12421
South Korea,2020-06-21,12438
South Korea,2020-06-22,12484
South Korea,2020-06-23,12535
South Korea,2020-06-24,12563
South Korea,2020-06-25,12602
South Korea,2020-06-26,12653
South Korea,2020-06-27,12715
South Korea,2020-06-28,12757
South Korea,2020-06-29,12800
South Korea,2020-06-30,12850
South Korea,2020-07-01,12904
South Korea,2020-07-02,12967
South Korea,2020-07-03,13030
South Korea,2020-07-04,13091
South Korea,2020-07-05,13137
South Korea,2020-07-06,13181
South Korea,2020-07-07,13244
South Korea,2020-07-08,13293
South Korea,2020-07-09,13338
South Korea,2020-07-10,13373
South Korea,2020-07-11,13417
South Korea,2020-07-12,13479
South Korea,2020-07-13,13512
South Korea,2020-07-14,13551
South Korea,2020-07-15,13612
South Korea,2020-07-16,13672
South Korea,2020-07-17,13711
South Korea,2020-07-18,13745
South Korea,2020-07-19,13771
South Korea,2020-07-20,13816
South Korea,2020-07-21,13879
South Korea,2020-07-22,13938
South Korea,2020-07-23,13979
South Korea,2020-07-24,14092
South Korea,2020-07-25,14150
South Korea,2020-07-26,14175
South Korea,2020-07-27,14203
South Korea,2020-07-28,14251
South Korea,2020-07-29,14269
South Korea,2020-07-30,14305
South Korea,2020-07-31,14336
Mexico,2020-01-22,0
Mexico,2020-01-23,0
Mexico,2020-01-24,0
Mexico,2020-01-25,0
Mexico,2020-01-26,0
Mexico,2020-01-27,0
Mexico,2020-01-28,0
Mexico,2020-01-29,0
Mexico,2020-01-30,0
Mexico,2020-01-31,0
Mexico,2020-02-01,0
Mexico,2020-02-02,0
Mexico,2020-02-03,0
Mexico,2020-02-04,0
Mexico,2020-02-05,0
Mexico,2020-02-06,0
Mexico,2020-02-07,0
Mexico,2020-02-08,0
Mexico,2020-02-09,0
Mexico,2020-02-10,0
Mexico,2020-02-11,0
Mexico,2020-02-12,0
Mexico,2020-02-13,0
Mexico,2020-02-14,0
Mexico,2020-02-15,0
Mexico,2020-02-16,0
Mexico,2020-02-17,0
Mexico,2020-02-18,0
Mexico,2020-02-19,0
Mexico,2020-02-20,0
Mexico,2020-02-21,0
Mexico,2020-02-22,0
Mexico,2020-02-23,0
Mexico,2020-02-24,0
Mexico,2020-02-25,0
Mexico,2020-02-26,0
Mexico,2020-02-27,0
Mexico,2020-02-28,1
Mexico,2020-02-29,4
Mexico,2020-03-01,5
Mexico,2020-03-02,5
Mexico,2020-03-03,5
Mexico,2020-03-04,5
Mexico,2020-03-05,5
Mexico,2020-03-06,6
Mexico,2020-03-07,6
Mexico,2020-03-08,7
Mexico,2020-03-09,7
Mexico,2020-03-10,7
Mexico,2020-03-11,8
Mexico,2020-03-12,12
Mexico,2020-03-13,26
Mexico,2020-03-14,41
Mexico,2020-03-15,53
Mexico,2020-03-16,82
Mexico,2020-03-17,93
Mexico,2020-03-18,118
Mexico,2020-03-19,164
Mexico,2020-03-20,203
Mexico,2020-03-21,251
Mexico,2020-03-22,316
Mexico,2020-03-23,367
Mexico,2020-03-24,405
Mexico,2020-03-25,475
Mexico,2020-03-26,585
Mexico,2020-03-27,717
Mexico,2020-03-28,848
Mexico,2020-03-29,993
Mexico,2020-03-30,1094
Mexico,2020-03-31,1215
Mexico,2020-04-01,1378
Mexico,2020-04-02,1510
Mexico,2020-04-03,1688
Mexico,2020-04-04,1890
Mexico,2020-04-05,2143
Mexico,2020-04-06,2439
Mexico,2020-04-07,2785
Mexico,2020-04-08,3181
Mexico,2020-04-09,3441
Mexico,2020-04-10,3844
Mexico,2020-04-11,4219
Mexico,2020-04-12,4661
Mexico,2020-04-13,5014
Mexico,2020-04-14,5399
Mexico,2020-04-15,5847
Mexico,2020-04-16,6297
Mexico,2020-04-17,6875
Mexico,2020-04-18,7497
Mexico,2020-04-19,8261
Mexico,2020-04-20,8772
Mexico,2020-04-21,9501
Mexico,2020-04-22,10544
Mexico,2020-04-23,11633
Mexico,2020-04-24,12872
Mexico,2020-04-25,13842
Mexico,2020-04-26,14677
Mexico,2020-04-27,15529
Mexico,2020-04-28,16752
Mexico,2020-04-29,17799
Mexico,2020-04-30,19224
Mexico,2020-05-01,20739
Mexico,2020-05-02,22088
Mexico,2020-05-03,23471
Mexico,2020-05-04,24905
Mexico,2020-05-05,26025
Mexico,2020-05-06,27634
Mexico,2020-05-07,29616
Mexico,2020-05-08,31522
Mexico,2020-05-09,33460
Mexico,2020-05-10,35022
Mexico,2020-05-11,36327
Mexico,2020-05-12,38324
Mexico,2020-05-13,40186
Mexico,2020-05-14,42595
Mexico,2020-05-15,45032
Mexico,2020-05-16,47144
Mexico,2020-05-17,49219
Mexico,2020-05-18,51633
Mexico,2020-05-19,54346
Mexico,2020-05-20,56594
Mexico,2020-05-21,59567
Mexico,2020-05-22,62527
Mexico,2020-05-23,65856
Mexico,2020-05-24,68620
Mexico,2020-05-25,71105
Mexico,2020-05-26,74560
Mexico,2020-05-27,78023
Mexico,2020-05-28,81400
Mexico,2020-05-29,84627
Mexico,2020-05-30,87512
Mexico,2020-05-31,90664
Mexico,2020-06-01,93435
Mexico,2020-06-02,97326
Mexico,2020-06-03,101238
Mexico,2020-06-04,105680
Mexico,2020-06-05,110026
Mexico,2020-06-06,113619
Mexico,2020-06-07,117103
Mexico,2020-06-08,120102
Mexico,2020-06-09,124301
Mexico,2020-06-10,129184
Mexico,2020-06-11,133974
Mexico,2020-06-12,139196
Mexico,2020-06-13,142690
Mexico,2020-06-14,146837
Mexico,2020-06-15,150264
Mexico,2020-06-16,154863
Mexico,2020-06-17,159793
Mexico,2020-06-18,165455
Mexico,2020-06-19,170485
Mexico,2020-06-20,175202
Mexico,2020-06-21,180545
Mexico,2020-06-22,185122
Mexico,2020-06-23,191410
Mexico,2020-06-24,196847
Mexico,2020-06-25,202951
Mexico,2020-06-26,208392
Mexico,2020-06-27,212802
Mexico,2020-06-28,216852
Mexico,2020-06-29,220657
Mexico,2020-06-30,226089
Mexico,2020-07-01,231770
Mexico,2020-07-02,238511
Mexico,2020-07-03,245251
Mexico,2020-07-04,252165
Mexico,2020-07-05,256848
Mexico,2020-07-06,261750
Mexico,2020-07-07,268008
Mexico,2020-07-08,275003
Mexico,2020-07-09,282283
Mexico,2020-07-10,289174
Mexico,2020-07-11,295268
Mexico,2020-07-12,299750
Mexico,2020-07-13,304435
Mexico,2020-07-14,311486
Mexico,2020-07-15,317635
Mexico,2020-07-16,324041
Mexico,2020-07-17,331298
Mexico,2020-07-18,338913
Mexico,2020-07-19,344224
Mexico,2020-07-20,349396
Mexico,2020-07-21,356255
Mexico,2020-07-22,362274
Mexico,2020-07-23,370712
Mexico,2020-07-24,378285
Mexico,2020-07-25,385036
Mexico,2020-07-26,390516
Mexico,2020-07-27,395489
Mexico,2020-07-28,402697
Mexico,2020-07-29,408449
Mexico,2020-07-30,416179
Mexico,2020-07-31,424637
Spain,2020-01-22,0
Spain,2020-01-23,0
Spain,2020-01-24,0
Spain,2020-01-25,0
Spain,2020-01-26,0
Spain,2020-01-27,0
Spain,2020-01-28,0
Spain,2020-01-29,0
Spain,2020-01-30,0
Spain,2020-01-31,0
Spain,2020-02-01,1
Spain,2020-02-02,1
Spain,2020-02-03,1
Spain,2020-02-04,1
Spain,2020-02-05,1
Spain,2020-02-06,1
Spain,2020-02-07,1
Spain,2020-02-08,1
Spain,2020-02-09,2
Spain,2020-02-10,2
Spain,2020-02-11,2
Spain,2020-02-12,2
Spain,2020-02-13,2
Spain,2020-02-14,2
Spain,2020-02-15,2
Spain,2020-02-16,2
Spain,2020-02-17,2
Spain,2020-02-18,2
Spain,2020-02-19,2
Spain,2020-02-20,2
Spain,2020-02-21,2
Spain,2020-02-22,2
Spain,2020-02-23,2
Spain,2020-02-24,2
Spain,2020-02-25,6
Spain,2020-02-26,13
Spain,2020-02-27,15
Spain,2020-02-28,32
Spain,2020-02-29,45
Spain,2020-03-01,84
Spain,2020-03-02,120
Spain,2020-03-03,165
Spain,2020-03-04,222
Spain,2020-03-05,259
Spain,2020-03-06,400
Spain,2020-03-07,500
Spain,2020-03-08,673
Spain,2020-03-09,1073
Spain,2020-03-10,1695
Spain,2020-03-11,2277
Spain,2020-03-12,2277
Spain,2020-03-13,5232
Spain,2020-03-14,6391
Spain,2020-03-15,7798
Spain,2020-03-16,9942
Spain,2020-03-17,11748
Spain,2020-03-18,13910
Spain,2020-03-19,17963
Spain,2020-03-20,20410
Spain,2020-03-21,25374
Spain,2020-03-22,28768
Spain,2020-03-23,35136
Spain,2020-03-24,39885
Spain,2020-03-25,49515
Spain,2020-03-26,57786
Spain,2020-03-27,65719
Spain,2020-03-28,73235
Spain,2020-03-29,80110
Spain,2020-03-30,87956
Spain,2020-03-31,95923
Spain,2020-04-01,104118
Spain,2020-04-02,112065
Spain,2020-04-03,119199
Spain,2020-04-04,126168
Spain,2020-04-05,131646
Spain,2020-04-06,136675
Spain,2020-04-07,141942
Spain,2020-04-08,148220
Spain,2020-04-09,153222
Spain,2020-04-10,158273
Spain,2020-04-11,163027
Spain,2020-04-12,166831
Spain,2020-04-13,170099
Spain,2020-04-14,172541
Spain,2020-04-15,177644
Spain,2020-04-16,184948
Spain,2020-04-17,190839
Spain,2020-04-18,191726
Spain,2020-04-19,198674
Spain,2020-04-20,200210
Spain,2020-04-21,204178
Spain,2020-04-22,208389
Spain,2020-04-23,213024
Spain,2020-04-24,202990
Spain,2020-04-25,205905
Spain,2020-04-26,207634
Spain,2020-04-27,209465
Spain,2020-04-28,210773
Spain,2020-04-29,212917
Spain,2020-04-30,213435
Spain,2020-05-01,215216
Spain,2020-05-02,216582
Spain,2020-05-03,217466
Spain,2020-05-04,218011
Spain,2020-05-05,219329
Spain,2020-05-06,220325
Spain,2020-05-07,221447
Spain,2020-05-08,222857
Spain,2020-05-09,223578
Spain,2020-05-10,224350
Spain,2020-05-11,227436
Spain,2020-05-12,228030
Spain,2020-05-13,228691
Spain,2020-05-14,229540
Spain,2020-05-15,230183
Spain,2020-05-16,230698
Spain,2020-05-17,230698
Spain,2020-05-18,231606
Spain,2020-05-19,232037
Spain,2020-05-20,232555
Spain,2020-05-21,233037
Spain,2020-05-22,234824
Spain,2020-05-23,235290
Spain,2020-05-24,235772
Spain,2020-05-25,235400
Spain,2020-05-26,236259
Spain,2020-05-27,236259
Spain,2020-05-28,237906
Spain,2020-05-29,238564
Spain,2020-05-30,239228
Spain,2020-05-31,239479
Spain,2020-06-01,239638
Spain,2020-06-02,239932
Spain,2020-06-03,240326
Spain,2020-06-04,240660
Spain,2020-06-05,240978
Spain,2020-06-06,241310
Spain,2020-06-07,241550
Spain,2020-06-08,241717
Spain,2020-06-09,241966
Spain,2020-06-10,242280
Spain,2020-06-11,242707
Spain,2020-06-12,243209
Spain,2020-06-13,243605
Spain,2020-06-14,243928
Spain,2020-06-15,244109
Spain,2020-06-16,244328
Spain,2020-06-17,244683
Spain,2020-06-18,245268
Spain,2020-06-19,245575
Spain,2020-06-20,245938
